Phase,Time,Action,Target,Type,Damage
P1,00:03,AA,tank,physical,24000
P1,00:09,叫喚地獄,party,magic,54000
P1,00:12,AA,tank,physical,40000
P1,00:24,蘇生之炎,party,magic,45000
P1,00:27,AA,tank,physical,25000
P1,00:36,AA,tank,physical,24000
P1,00:41,赤熱擊,tank,physical,136000
P1,00:42,AA,tank,physical,16000
P1,00:54,AA,tank,physical,25000
P1,01:06,蘇生之炎,party,magic,53000
P1,01:06,AA,tank,physical,14000
P1,01:17,赤熱擊,tank,physical,133000
P1,01:17,AA,tank,physical,12000
P1,01:30,AA,tank,physical,25000
P1,01:31,叫喚地獄,party,magic,58000
P1,01:33,AA,tank,physical,18000
P2,02:53,燃燼天火,party,magic,99000
P2,02:58,AA,tank,physical,43000
P2,03:08,星宿波,party,magic,58000
P2,03:11,AA,tank,physical,35000
P2,03:18,引誘旋律,party,magic,0
P2,03:22,AA,tank,physical,38000
P2,03:27,蘇生之炎,party,magic,45000
P2,03:29,AA,tank,physical,36000
P2,03:33,張宿業火,party,magic,73000
P2,03:38,鬼宿腳,tank,physical,14000
P2,03:46,AA,tank,physical,36000
P2,03:58,AA,tank,physical,37000
P2,04:36,紅蓮炎,party,magic,79000
P2,04:38,AA,tank,physical,37000
P2,04:57,AA,tank,physical,37000
P2,05:07,AA,tank,physical,36000
P2,05:26,蘇生之炎,party,magic,51000
P2,05:27,AA,tank,physical,37000
P2,05:32,張宿業火,party,magic,83000
P2,05:36,鬼宿腳,tank,physical,23000
P2,05:44,AA,tank,physical,52000
P2,05:57,AA,tank,physical,26000
P2,06:03,引誘旋律,party,magic,0
P2,06:07,AA,tank,physical,36000
P2,06:12,紅蓮炎,party,magic,75000
P2,06:13,AA,tank,physical,37000
P2,06:18,紅蓮炎,party,magic,81000
P2,06:19,AA,tank,physical,39000
P2,06:24,星宿波,party,magic,65000
P2,06:26,AA,tank,physical,37000
P2,06:29,紅蓮炎,party,magic,101000
P2,06:29,AA,tank,physical,38000
P2,06:34,紅蓮炎,party,magic,110000
P2,06:35,AA,tank,physical,39000
P2,06:51,鬼宿腳,tank,physical,11000
P2,06:59,AA,tank,physical,38000
P2,07:08,星宿波,party,magic,65000
P2,07:09,AA,tank,physical,36000
P2,07:22,AA,tank,physical,38000
P2,07:29,拒絕旋律,party,magic,0
P2,07:32,燃燒,party,magic,23000
P2,07:32,蘇生之炎,party,magic,68000
P2,07:38,AA,tank,physical,39000
P2,07:54,AA,tank,physical,37000
P2,08:02,蘇生之炎,party,magic,63000
P2,08:04,AA,tank,physical,38000
P2,08:10,紅蓮炎,party,magic,78000
P2,08:17,AA,tank,physical,34000
P2,08:27,紅蓮炎,party,magic,63000
P2,08:29,AA,tank,physical,36000
P2,08:31,紅蓮炎,party,magic,78000
P2,08:32,AA,tank,physical,43000
P2,08:41,引誘旋律,party,magic,0
P2,08:44,AA,tank,physical,50000
P2,08:57,鬼宿腳,tank,physical,13000
P2,09:05,AA,tank,physical,34000
P2,09:31,星宿波,party,magic,63000
P2,09:34,AA,tank,physical,38000
P2,09:47,AA,tank,physical,37000
P2,09:57,蘇生之炎,party,magic,47000
P2,09:57,AA,tank,physical,37000
P2,10:03,張宿業火,party,magic,73000
P2,10:08,鬼宿腳,tank,physical,11000
P2,10:16,AA,tank,physical,39000
P2,10:25,星宿波,party,magic,60000
P2,10:26,AA,tank,physical,37000
P2,10:41,AA,tank,physical,33000
P2,10:51,星宿波,party,magic,58000
P2,10:58,鬼宿腳,tank,physical,11000
P2,11:06,AA,tank,physical,38000
P2,11:15,AA,tank,physical,37000
P2,11:29,紅蓮炎,party,magic,10000000
